student_id,target_days,complete_wearable_target_days,complete_wearable_target_percent,has_all_expected_files
1,121,30,24.79,1
2,102,9,8.82,1
3,14,0,0.0,0
4,118,13,11.02,1
5,133,96,72.18,1
6,104,35,33.65,1
7,102,83,81.37,1
8,104,89,85.58,1
9,60,35,58.33,1
10,115,41,35.65,1
11,39,12,30.77,1
12,55,0,0.0,0
13,86,66,76.74,1
14,39,0,0.0,0
15,58,18,31.03,1
16,71,34,47.89,1
17,116,13,11.21,1
18,82,42,51.22,1
19,114,46,40.35,1
20,100,53,53.0,1
21,59,18,30.51,1
22,117,45,38.46,1
23,76,22,28.95,1
24,108,94,87.04,1
25,7,4,57.14,1
26,102,73,71.57,1
27,113,85,75.22,1
28,108,62,57.41,1
29,115,41,35.65,1
30,108,68,62.96,1
31,50,8,16.0,1
32,116,74,63.79,1
33,115,73,63.48,1
34,110,68,61.82,1
35,81,32,39.51,1
