temporal_condition,n_features,model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support,cv_macro_f1,best_params,n_candidates
no_temporal,12,mlp,0.37402885682574916,0.36321514830795953,0.36158853539043107,0.35721338294688154,0.48043184885290147,0.26124197002141325,0.32996632996632996,386,267,248,0.3621691858903974,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [64]}",6
no_temporal,12,svm,0.3751387347391787,0.35617080789621164,0.3585122213729579,0.35591560797114913,0.4895287958115183,0.25101214574898784,0.3272058823529412,386,267,248,0.3529110758143338,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
no_temporal,12,gradient_boosting,0.37402885682574916,0.3704513696711286,0.3649476419142627,0.3547226335372711,0.4792243767313019,0.2383177570093458,0.34662576687116564,386,267,248,0.35326355359348904,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
no_temporal,12,random_forest,0.36736958934517205,0.3651375182571069,0.3603424694979512,0.349234761207083,0.4682651622002821,0.23148148148148148,0.34795763993948564,386,267,248,0.367954182500818,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
no_temporal,12,logistic_regression,0.28967813540510545,0.3134072351376174,0.2928109825529387,0.2827106217680452,0.327212020033389,0.3011889035667107,0.21973094170403587,386,267,248,0.2886043335761568,"{""classifier__C"": 0.1}",3
no_temporal,12,knn,0.28523862375138737,0.31703800009546473,0.3152050347395023,0.27678743906464504,0.17177914110429449,0.3008595988538682,0.35772357723577236,386,267,248,0.2961999288685041,"{""classifier__n_neighbors"": 3}",3
no_temporal,12,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
semester_week_only,13,mlp,0.3729189789123196,0.3846848690488316,0.37928116867954836,0.36863079850649966,0.4251968503937008,0.2926829268292683,0.38801261829652994,386,267,248,0.36362800363721604,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
semester_week_only,13,gradient_boosting,0.3751387347391787,0.38792934133889906,0.38148422194135984,0.3670595291647923,0.4246153846153846,0.2905982905982906,0.38596491228070173,386,267,248,0.3558054495256004,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
semester_week_only,13,random_forest,0.38179800221975585,0.3789517718270406,0.37493700941681835,0.36702228508756857,0.48226950354609927,0.2608695652173913,0.3579277864992151,386,267,248,0.3593361385472472,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
semester_week_only,13,logistic_regression,0.36293007769145397,0.3504984681470599,0.35333783839897603,0.34985919760684814,0.45566166439290584,0.24266144814090018,0.35125448028673834,386,267,248,0.30765920007417763,"{""classifier__C"": 0.1}",3
semester_week_only,13,knn,0.34739178690344064,0.36071426571535764,0.3535527627904531,0.34226420149130804,0.3981042654028436,0.27165354330708663,0.35703479576399394,386,267,248,0.3380425491806134,"{""classifier__n_neighbors"": 9}",3
semester_week_only,13,svm,0.34739178690344064,0.3486176571500803,0.3435596132446008,0.34156128932684937,0.43004418262150224,0.26071428571428573,0.3339253996447602,386,267,248,0.35756178597175553,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
semester_week_only,13,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
lag1_wearable,24,svm,0.3995560488346282,0.39117855820349146,0.39308786985514305,0.38948159052771053,0.46442953020134226,0.32323232323232326,0.3807829181494662,386,267,248,0.37259602969159583,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
lag1_wearable,24,gradient_boosting,0.37846836847946724,0.380969380729732,0.3740702694254612,0.35790839115012113,0.47564469914040114,0.22760290556900725,0.3704775687409551,386,267,248,0.3520668071882564,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",8
lag1_wearable,24,random_forest,0.3706992230854606,0.3772361438328455,0.36966053735688487,0.35395074954440414,0.45857988165680474,0.2336448598130841,0.36962750716332377,386,267,248,0.342223990729225,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 300}",6
lag1_wearable,24,mlp,0.3584905660377358,0.3538738499369942,0.35410812324474067,0.34379152776717725,0.44635193133047213,0.23043478260869565,0.3545878693623639,386,267,248,0.36898406788144483,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32]}",6
lag1_wearable,24,knn,0.30410654827968925,0.3604841825964415,0.33700008951705235,0.293442075235106,0.1829787234042553,0.3157894736842105,0.3815580286168522,386,267,248,0.29595193519761287,"{""classifier__n_neighbors"": 9}",3
lag1_wearable,24,logistic_regression,0.26970033296337403,0.28909558267916596,0.2713001287668369,0.2658220429192106,0.3142389525368249,0.26666666666666666,0.21656050955414013,386,267,248,0.3022636376541806,"{""classifier__C"": 1.0}",3
lag1_wearable,24,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
rolling3_wearable,24,gradient_boosting,0.40066592674805773,0.3973812878286129,0.39836953244346285,0.39046076883129893,0.4682651622002821,0.3076923076923077,0.3954248366013072,386,267,248,0.3633236280130244,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
rolling3_wearable,24,svm,0.3940066592674806,0.38707758076591875,0.3904986047651033,0.3849547080800204,0.4576976421636616,0.3061630218687873,0.39100346020761245,386,267,248,0.34646678434083183,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
rolling3_wearable,24,random_forest,0.37735849056603776,0.3885140515575298,0.3840744521045167,0.3672062647622984,0.4218512898330804,0.2838137472283814,0.3959537572254335,386,267,248,0.3449150662814575,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
rolling3_wearable,24,mlp,0.36736958934517205,0.3641638972809668,0.36717928220678525,0.3617851833317925,0.41359773371104813,0.3056092843326886,0.36614853195164077,386,267,248,0.376089562323527,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
rolling3_wearable,24,knn,0.29189789123196447,0.32884465261514445,0.31730962446031546,0.2870818463254829,0.21653543307086615,0.3022222222222222,0.34248788368336025,386,267,248,0.3159704304482901,"{""classifier__n_neighbors"": 3}",3
rolling3_wearable,24,logistic_regression,0.2885682574916759,0.30948093373192304,0.29146001060432775,0.2860635210603118,0.33223684210526316,0.28205128205128205,0.24390243902439024,386,267,248,0.3014735877032856,"{""classifier__C"": 1.0}",3
rolling3_wearable,24,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
rolling7_wearable,24,gradient_boosting,0.39844617092119866,0.3987395824130518,0.3990496481604246,0.3924906892407943,0.46176470588235297,0.3163841807909605,0.3993231810490694,386,267,248,0.35286305822854247,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 200}",8
rolling7_wearable,24,svm,0.39289678135405104,0.38871219768203075,0.3925159205764648,0.38408526457563186,0.4608695652173913,0.2807017543859649,0.41068447412353926,386,267,248,0.3485502359196847,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
rolling7_wearable,24,random_forest,0.3873473917869034,0.38914088231920846,0.38915918761083995,0.3792913778154412,0.45440956651718983,0.28346456692913385,0.4,386,267,248,0.3504071688284521,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
rolling7_wearable,24,mlp,0.3551609322974473,0.35178238640758946,0.3588210186873628,0.34286685755819896,0.41566265060240964,0.2135523613963039,0.39938556067588327,386,267,248,0.36116034479854975,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
rolling7_wearable,24,logistic_regression,0.316315205327414,0.35118516643961645,0.3281412138804432,0.31718430283049426,0.3268892794376098,0.3057142857142857,0.31894934333958724,386,267,248,0.29807547234194465,"{""classifier__C"": 0.1}",3
rolling7_wearable,24,knn,0.3029966703662597,0.3409922253332254,0.31632086792729214,0.3021428957980605,0.32616487455197135,0.24489795918367346,0.3353658536585366,386,267,248,0.3091173319027506,"{""classifier__n_neighbors"": 5}",3
rolling7_wearable,24,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
