semester_week,n,mean_stress,sd_stress,week_start,week_end
1,43,26.884,25.445,2025-02-14,2025-02-20
2,108,29.667,21.373,2025-02-21,2025-02-27
3,116,29.621,21.234,2025-02-28,2025-03-06
4,161,35.099,25.62,2025-03-07,2025-03-13
5,187,32.848,25.469,2025-03-14,2025-03-20
6,190,40.589,27.213,2025-03-21,2025-03-27
7,192,38.625,27.248,2025-03-28,2025-04-03
8,195,39.944,26.042,2025-04-04,2025-04-10
9,199,35.744,26.523,2025-04-11,2025-04-17
10,187,31.053,25.079,2025-04-18,2025-04-24
11,179,40.522,29.074,2025-04-25,2025-05-01
12,173,30.751,25.676,2025-05-02,2025-05-08
13,186,27.882,22.449,2025-05-09,2025-05-15
14,168,32.015,26.408,2025-05-16,2025-05-22
15,181,28.992,24.028,2025-05-23,2025-05-29
16,184,29.832,22.418,2025-05-30,2025-06-05
17,164,33.287,25.501,2025-06-06,2025-06-12
18,129,28.481,24.278,2025-06-13,2025-06-19
19,94,29.979,26.783,2025-06-20,2025-06-26
20,74,30.068,25.498,2025-06-27,2025-07-03
21,8,13.625,12.917,2025-07-04,2025-07-09
