feature_group,n_features,model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support,cv_macro_f1,best_params,n_candidates
sleep_only,2,random_forest,0.4384017758046615,0.41987642637335343,0.40820636622740714,0.3907340203736524,0.5777777777777777,0.22764227642276422,0.36678200692041524,386,267,248,0.3518483032123264,"{""classifier__max_depth"": 5, ""classifier__n_estimators"": 100}",6
sleep_only,2,svm,0.4284128745837958,0.3889860803979008,0.38640338220046266,0.36991361424517577,0.5823336968375137,0.22279792746113988,0.3046092184368738,386,267,248,0.34850399147919714,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
sleep_only,2,gradient_boosting,0.4339622641509434,0.442802127269393,0.4034926622100112,0.3642988999595172,0.5807200929152149,0.12987012987012986,0.382306477093207,386,267,248,0.3552567535657595,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",8
sleep_only,2,mlp,0.4239733629300777,0.3815640569954309,0.38870630748836227,0.35767335716734827,0.5875576036866359,0.13529411764705881,0.3501683501683502,386,267,248,0.357058697510794,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
sleep_only,2,knn,0.2952275249722531,0.3181349578256794,0.33539809422577455,0.2668491089558193,0.06976744186046512,0.3674911660777385,0.3632887189292543,386,267,248,0.32636457802351326,"{""classifier__n_neighbors"": 3}",3
sleep_only,2,logistic_regression,0.26970033296337403,0.24767677658981688,0.2967245105409981,0.20015526383027563,0.21379310344827587,0.007326007326007326,0.3793466807165437,386,267,248,0.2651765370957136,"{""classifier__C"": 0.1}",3
sleep_only,2,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
activity_only,5,gradient_boosting,0.37735849056603776,0.3687934187065994,0.3660967310000056,0.3564357692827411,0.48509485094850946,0.2372093023255814,0.3470031545741325,386,267,248,0.37401026068009774,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
activity_only,5,random_forest,0.3662597114317425,0.35148107651176125,0.351309932866384,0.34471153607259736,0.49056603773584906,0.22172949002217296,0.3218390804597701,386,267,248,0.3810301779988308,"{""classifier__max_depth"": null, ""classifier__n_estimators"": 100}",6
activity_only,5,svm,0.36182019977802443,0.3450544584449931,0.34449889021808144,0.3432635501720514,0.4745762711864407,0.2653061224489796,0.28990825688073396,386,267,248,0.3621357148903849,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
activity_only,5,mlp,0.3518312985571587,0.34656258087359365,0.34680877968225826,0.33345755271451544,0.4450784593437946,0.20642201834862386,0.34887218045112783,386,267,248,0.3608075849603109,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
activity_only,5,logistic_regression,0.3018867924528302,0.3263528173516966,0.3049109388794677,0.29047049180133083,0.33610648918469216,0.3227445997458704,0.21256038647342995,386,267,248,0.291218120490221,"{""classifier__C"": 1.0}",3
activity_only,5,knn,0.26970033296337403,0.305301528041885,0.29561347663573634,0.26295097893922176,0.18548387096774194,0.28483920367534454,0.31852986217457885,386,267,248,0.28602838048958795,"{""classifier__n_neighbors"": 5}",3
activity_only,5,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
hrv_spo2_only,5,random_forest,0.42286348501664817,0.39840064903314004,0.39795220352797345,0.39322283919634754,0.5639097744360902,0.2806236080178174,0.33513513513513515,386,267,248,0.36419739619740155,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
hrv_spo2_only,5,mlp,0.4261931187569367,0.410586433384561,0.4088939677817904,0.38852843709655477,0.5491698595146871,0.21578947368421053,0.40062597809076683,386,267,248,0.3772467749216576,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
hrv_spo2_only,5,gradient_boosting,0.4117647058823529,0.38378828527989856,0.38518316461768604,0.38106060568188993,0.5635220125786163,0.26521739130434785,0.31444241316270566,386,267,248,0.3523969155549548,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
hrv_spo2_only,5,svm,0.416204217536071,0.36336414914209136,0.3752690728182618,0.35941653103486765,0.5816554809843401,0.1941747572815534,0.3024193548387097,386,267,248,0.36743020609747556,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
hrv_spo2_only,5,knn,0.29411764705882354,0.33432672388280554,0.3181759210396999,0.2901813823582917,0.2235294117647059,0.30962343096234307,0.3373913043478261,386,267,248,0.30561569446244075,"{""classifier__n_neighbors"": 5}",3
hrv_spo2_only,5,logistic_regression,0.2663706992230855,0.3001392878994396,0.27775532026551303,0.2584584618814448,0.24864864864864866,0.2982885085574572,0.22843822843822845,386,267,248,0.24604431664759288,"{""classifier__C"": 10.0}",3
hrv_spo2_only,5,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
all_wearable,12,mlp,0.37402885682574916,0.36321514830795953,0.36158853539043107,0.35721338294688154,0.48043184885290147,0.26124197002141325,0.32996632996632996,386,267,248,0.3621691858903974,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [64]}",6
all_wearable,12,svm,0.3751387347391787,0.35617080789621164,0.3585122213729579,0.35591560797114913,0.4895287958115183,0.25101214574898784,0.3272058823529412,386,267,248,0.3529110758143338,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
all_wearable,12,gradient_boosting,0.37402885682574916,0.3704513696711286,0.3649476419142627,0.3547226335372711,0.4792243767313019,0.2383177570093458,0.34662576687116564,386,267,248,0.35326355359348904,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
all_wearable,12,random_forest,0.36736958934517205,0.3651375182571069,0.3603424694979512,0.349234761207083,0.4682651622002821,0.23148148148148148,0.34795763993948564,386,267,248,0.367954182500818,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
all_wearable,12,logistic_regression,0.28967813540510545,0.3134072351376174,0.2928109825529387,0.2827106217680452,0.327212020033389,0.3011889035667107,0.21973094170403587,386,267,248,0.2886043335761568,"{""classifier__C"": 0.1}",3
all_wearable,12,knn,0.28523862375138737,0.31703800009546473,0.3152050347395023,0.27678743906464504,0.17177914110429449,0.3008595988538682,0.35772357723577236,386,267,248,0.2961999288685041,"{""classifier__n_neighbors"": 3}",3
all_wearable,12,majority_baseline,0.27524972253052166,0.09174990751017388,0.3333333333333333,0.14389324049898464,0.0,0.0,0.4316797214969539,386,267,248,,{},1
