feature_group,n_features,model,cv_macro_f1,best_params,n_candidates
sleep_only,2,majority_baseline,,{},1
sleep_only,2,logistic_regression,0.2651765370957136,"{""classifier__C"": 0.1}",3
sleep_only,2,svm,0.34850399147919714,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
sleep_only,2,knn,0.32636457802351326,"{""classifier__n_neighbors"": 3}",3
sleep_only,2,random_forest,0.3518483032123264,"{""classifier__max_depth"": 5, ""classifier__n_estimators"": 100}",6
sleep_only,2,gradient_boosting,0.3552567535657595,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",8
sleep_only,2,mlp,0.357058697510794,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
activity_only,5,majority_baseline,,{},1
activity_only,5,logistic_regression,0.291218120490221,"{""classifier__C"": 1.0}",3
activity_only,5,svm,0.3621357148903849,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
activity_only,5,knn,0.28602838048958795,"{""classifier__n_neighbors"": 5}",3
activity_only,5,random_forest,0.3810301779988308,"{""classifier__max_depth"": null, ""classifier__n_estimators"": 100}",6
activity_only,5,gradient_boosting,0.37401026068009774,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
activity_only,5,mlp,0.3608075849603109,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
hrv_spo2_only,5,majority_baseline,,{},1
hrv_spo2_only,5,logistic_regression,0.24604431664759288,"{""classifier__C"": 10.0}",3
hrv_spo2_only,5,svm,0.36743020609747556,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
hrv_spo2_only,5,knn,0.30561569446244075,"{""classifier__n_neighbors"": 5}",3
hrv_spo2_only,5,random_forest,0.36419739619740155,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
hrv_spo2_only,5,gradient_boosting,0.3523969155549548,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
hrv_spo2_only,5,mlp,0.3772467749216576,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [32, 16]}",6
all_wearable,12,majority_baseline,,{},1
all_wearable,12,logistic_regression,0.2886043335761568,"{""classifier__C"": 0.1}",3
all_wearable,12,svm,0.3529110758143338,"{""classifier__C"": 10.0, ""classifier__kernel"": ""rbf""}",6
all_wearable,12,knn,0.2961999288685041,"{""classifier__n_neighbors"": 3}",3
all_wearable,12,random_forest,0.367954182500818,"{""classifier__max_depth"": 10, ""classifier__n_estimators"": 100}",6
all_wearable,12,gradient_boosting,0.35326355359348904,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",8
all_wearable,12,mlp,0.3621691858903974,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [64]}",6
